CallNo,Barcode,Title,Author,Publisher Code,Year,ISBN,Edition,Pages,Library,Subject
511.8 UPA,69689.0,Design and Analysis of Algorithms,"Upadhyay, Nitin",S.K. Kataria &amp; Sons,2004.0,8188458554,,476p,UG Library,Mathematics
301 COM,00033219,Auguste Comte:The Foundation of Sociology,"Thompson, Kenneth",Nelson,1968,,,220 p,UG Library,Sociology
230.09 EVA,00109568,Christian Belief,Evans G.R.,Oxford University Press,2006,9780195315547,,ix; 230 p.,UG Library,Philosophy &Theology
420 LEL,00108986,English Language,"Lele,Chitra G.",Atlantic Publishers &amp; Distributors,2012,9788126916603,,xxi; 215 p.,UG Library,English
307.76 MCG,05042543,Urban growth in emerging economies :,,"Routledge,",2014,9780415718752 (hardback) | 978,,"xii, 273 pages :",Knowledge Centre,Sociology
330 MAN,3012240.0,Principles of Economics with CourseMate /,"Mankiw, Gregory N.","Cengage Learning,",2012,9788131532324 | 8131532321,,"xxxii,856 p.;",School of Business Management (Kengeri),Economics
8H0 SHA,6059,à¤¸à¤à¤¸à¥à¤à¥à¤¤ à¤¸à¤¾à¤¹à¤¿à¤¤à¥à¤¯ à¤®à¥à¤ à¤¸à¤¹à¤¾à¤¸à¥à¤¯à¤¾à¤®à¥à¤²à¤ à¤à¤²à¤à¤à¤¾à¤°à¥à¤ à¤à¤¾ à¤µà¤¿à¤à¤¾à¤¸ (Samskrit Sahitya mein Sahasyamoolak Alankaroan Ka Vikas) /,"à¤¶à¤°à¥à¤®à¤¾, à¤¬à¥à¤°à¤¹à¥à¤®à¤¾à¤¨à¤¨à¥à¤¦ .(Sharma, Bhramanand.)","Vedic yantralay,",1964,,,412p.;,UG Library,Languages
320.9541 CHA,109104.0,Hill Politics in Northeast India,Chaube S.K.,Orient Blackswan Pvt Ltd,2012,9788125045502,3rd Ed.,xiv; 296 p.,UG Library,Political Science
342.5408772 RED,01011353,Prohibition of Ragging and Law :,"Reddy,G.B","Gogia Law House,",,9788189804220,,"xxi,368p.;",Knowledge Centre,Law
973.7092 PHI,5034179.0,Lincoln on leadership :,"Phillips, Donald T.","Warner Books,",1992.0,0446516465 | 97804446394598,,"xiv, 193 p. :",Knowledge Centre,History
620.00151 KRE,00118476,Advanced Engineering Mathematics /,"Kreyszig, Erwin.","John Wiley,",2006,9788126531356 | 9780471488859,9th ed.,A 106. :,UG Library,Mechanical
324.0954 CHA,108000.0,Coalition Government in india,Chauhan Singh Rajinder,Deep &amp; Deep publications Pvt Ltd:,2011,9788184503180,,xx.310 p.,UG Library,Political Science
657 WIL,00120097,Financial &amp; managerial accounting :,Williams Jan R,"McGraw-Hill Irwin,",2010.0,9780073526997 (alk. paper) | 0,15th ed.,1 v. (various pagings) :,UG Library,Commerce
030 BHA,05038121,Encyclopaedic District Gaeteers of India /,"Bhatt, S C","Gyan  Publishing House,",1977.0,,,11 v.;,Knowledge Centre,General Books
302 REE,07015510,Human Rleations Principles :,Chandran Essae,"Essae Chandran Institute,",2016,9788190689946,,"vi,79p.:",Library - BR Campus,Sociology
332.042 APT,5003116.0,International Finance :,"Apte,Prakash G.","Tata McGraw Hill Education Pvt. Ltd,",2010,9780070077904,2nd ed.,"xii,365p.;",Knowledge Centre,Economics
355.033054 SET,5069924.0,Citizens and soldiers keeping India's tryst with destiny :,"Sethi, Deepak.","K W Publishers Pvt Ltd,",2019,9789387324695 | 9387324699,,"xv, 211 p. ;",Knowledge Centre,Political Science
443.21 OXF,05003771,The Oxford Paperback French Dictionary :,,"Oxford University Press,",2002,9780195685343,3rd ed.,"vii, 472 p. ;",Knowledge Centre,English
153 GAL,5034125.0,Cognitive psychology :,"Galotti, Kathleen M.,","Sage,",2014.0,0495099635,5th Ed,"xix, 681p. :",Knowledge Centre,Psychology
004.6782 COS,10003078.0,Google Cloud cookbook :,"Costa, Rui","O'Reilly media, inc.,",2022,9781492092896 | 1492092894,First edition.,"xiii, 266 pages :",Yeshwanthpur Campus,Computer Science
332.6 FIS,3011901.0,Beat the Crowd :,"Fisher, Ken.","Wiley,",2015,9788126556137,,"xi,303 p.:",School of Business Management (Kengeri),Economics
512.9434 ISL,4021727.0,Concepts in Matrices /,"Islam, Mafidul","Anmol Publishers,",2013.0,9788126154029,,200p. :,Knowledge Centre (Kengeri),Mathematics
647.940682 RAN,56538,Developing Hospitality Properties and Facilities,"Ransley,Josef.",Butterworth Heinemann,2000.0,0750645547 | 7807564554,,292 p.,UG Library,Hotel Management
330.9 SHA,5010100.0,FutureCast 2020 :,"Shapiro, Robert J.","Profile Books,",2008,9781861979681,,"x, 358 p.;",Knowledge Centre,Economics
170 PAL,01019380,"Justice, equality, and morality :","Pal, Jagat,","Madhav Books,",2012,9789380615035 | 9380615035,,203 p. ;,Knowledge Centre,Philosophy &Theology
820 FOR,00011170,Pelican Guide to English Literature,"Ford, Boris",Penguin,1969,,,493 p,Yeshwanthpur Campus,English
612.0078 MAR,00145862,Human anatomy &amp; physiology laboratory manual /,"Marieb, Elaine N.","Pearson,",2023.0,9781292442099,13th ed.,771+i-25p. ;,UG Library,Life Sciences
030 UGC,05011414,UGC-NET/SET Junior Research Fellowship and Lectureship Exam/Physical Education,"Gupta's, R",Ramesh Publishing House,2012.0,9788178123639,,532p;,Knowledge Centre,General Books
613.13 PAR,00140829,Textbook of medical jurisprudence forensic medicine and toxicology for classrooms and courtrooms,"Parikh,C K","CBS publishers and distributors pvt ltd.,",2021.0,9789388327961,"8th ed.,","xxii,754p.;",UG Library,Life Sciences
620.112 VLA,00044877,Elements of Material Science and Engineering /,Lawrence H Van Vlack,"Addison-Wesley Publishing,",1989,,6th,598 p.,UG Library,Mechanical
954.04 AKB,7006970.0,A mirror to power :,"Akbar, M. J.,","Harper Collins,",2015.0,9789350296837,,"xiv, 310 pages ;",Library - BR Campus,History
657.48 JAW,22000193,Accounting for Managers,"Lal, Dr Jawahar",,,,,772p,Knowledge Centre,Commerce
808 NAR,00033103,Strengthen Your Writing,"Narayanaswami, V R",Orient Longman,1996,8125004297,New ed.,"iii, 169 p. :",Yeshwanthpur Campus,English
973.7 WYR,58711.0,Fanon for Beginners,"Wyrick, Deborah",Orient Longman Publications,,8125024743,,185p,UG Library,History
346.42066 GAR,10003186,Company Laws/,"Garg, K. C","Kalyani Publishers,",2017,9789327259131,,13.41 p. ;,Yeshwanthpur Campus,Law
624.15136 PUN,4028357,Soil Mechanics and Foundation /,"Punmia, B.C","Laxmi Publication,",2005.0,9788170087915,,916 p. :,Knowledge Centre (Kengeri),Civil
